"NOME_ALUNO","SEXO","IDADE (ao ingressar)","ESTADO_CIVIL (ao ingressar)","ETNIA","COD_CURSO","NOME_CURSO","ANO_INGRESSO","FORMA_INGRESSO","PERIODO_INGRESSO","ANO_EVASAO","PERIODO_EVASAO","Forna de Evasão","NUM_PERIODOS","NUM_MAX_PERIODOS","CH_TOTAL_CURSO","COTISTA","MUNICIPIO","ESTADO","PAIS","CRN","CRA","QTDE_TRANCAMENTOS"
"Aluno 1","M","19.3","Casado(a)","Branca","05","Engenharia de Computação","2007","Vestibular","1º Semestre","2014","1º Semestre","Formado","10","18","3690","N","VILA VELHA","Espirito Santo","Brasil","14,3369","5.62","0"
"Aluno 2","M","23.0","Solteiro(a)","Branca","05","Engenharia de Computação","2007","Vestibular","1º Semestre","2011","2º Semestre","Formado","10","18","3690","N","VITORIA","Espirito Santo","Brasil","15,8809","7.88","0"
"Aluno 3","M","20.7","Solteiro(a)","Branca","05","Engenharia de Computação","2008","Vestibular","1º Semestre","2011","1º Semestre","Desligado","10","15","4215","N","CARIACICA","Espirito Santo","Brasil","2,3339","2.75","1"
"Aluno 4","M","17.2","Solteiro(a)","Parda","05","Engenharia de Computação","2008","Vestibular","1º Semestre","2013","2º Semestre","Formado","10","18","3690","S","NOVA VENECIA","Espirito Santo","Brasil","16,1175","8.03","0"
"Aluno 5","M","25.8","Solteiro(a)","Parda","05","Engenharia de Computação","2008","Vestibular","1º Semestre","2012","1º Semestre","Desligado","10","15","4215","N","SERRA","Espirito Santo","Brasil","1,3823","1.71","0"
"Aluno 6","M","18.7","Solteiro(a)","Preta","05","Engenharia de Computação","2008","Vestibular","1º Semestre","2015","2º Semestre","Formado","10","15","4215","N","VITORIA","Espirito Santo","Brasil","15,6627","7.35","0"
"Aluno 7","M","18.8","Solteiro(a)","Branca","05","Engenharia de Computação","2008","Vestibular","1º Semestre","2011","1º Semestre","Desligado","10","15","4215","S","VITORIA","Espirito Santo","Brasil","1,3885","1.36","0"
"Aluno 8","M","18.6","Solteiro(a)","Branca","05","Engenharia de Computação","2008","Vestibular","1º Semestre","2014","1º Semestre","Formado","10","18","3690","N","VITORIA","Espirito Santo","Brasil","15,1506","6.7","0"
"Aluno 9","M","17.6","Solteiro(a)","Preta","05","Engenharia de Computação","2008","Vestibular","1º Semestre","2012","2º Semestre","Desistência","10","15","4215","N","SERRA","Espirito Santo","Brasil","4,0392","5.34","0"
"Aluno 10","M","18.0","Solteiro(a)","Branca","05","Engenharia de Computação","2008","Vestibular","1º Semestre","2010","Curso de Verão","Desistência","10","18","3690","N","SERRA","Espirito Santo","Brasil","3,4697","4.4","0"
"Aluno 11","M","18.8","Solteiro(a)","Branca","05","Engenharia de Computação","2008","Vestibular","1º Semestre","2015","2º Semestre","Desligado","10","18","3690","N","VITORIA","Espirito Santo","Brasil","4,2709","5.39","0"
"Aluno 12","M","19.7","Solteiro(a)","Parda","05","Engenharia de Computação","2008","Vestibular","1º Semestre","2016","1º Semestre","Formado","10","15","4215","S","SERRA","Espirito Santo","Brasil","14,668","6.07","0"
