document;quotation;codes;comment
Eps - Discentes;Nunca passei por uma situação realmente grave, o que aconteceu comigo era mais tênue. No início da graduação, era como se eu precisasse me provar mais, que era tão capaz quanto qualquer menino da sala. Se havia um conceito novo ou difícil, alguns meninos meio que esperavam que eu não entedesse e tentavam sempre me explicar, inclusive se eu já tivesse entendido. Com o tempo isso foi passou, porque eu fui tirando notas melhores, me dedicando de forma que ninguém duvidasse da minha capacidade. Era algo pequeno, mas que me incomodava.;Sexismo, Assédio: Autodesvalorização, Assédio: Supercompensação;
Eps - Discentes;"Comentários considerados ""leves"", mas desagradáveis, com relação a aparência das alunas, forma de se vestir, etc. Associados ao fato de sermos meninas do CT.";Assédio: Comentários impróprios, Sexismo;
Eps - Discentes;Estava ajudando colegas (todos homens) em uma matéria, e chamaram um terceiro homem para validar a minha resposta em uma questão que estávamos fazendo.;Sexismo, Validação, Desconfiança;
Eps - Discentes;Comentários e brincadeiras sexistas, que poderiam aparentar “normais” na época, mas que sempre me deixava incomodada e desconfortável.;Sexismo, Desconforto;
Eps - Docentes;Professor de física que costuma dar aula pra informática favorece meninas que puxam mais o saco dele, mas isso não acontece com meninos.;Viés de gênero percebido: Perceived gender bias, Discrimination;
Eps - Docentes;Professor fazendo comentário que engenharia não é para mulher ao presenciar uma aluna chorando literalmente. Reclamando por nota, diante do descontrole emocional da aluna.;Gênero (Gender): Discriminação de gênero, Falta de empatia, Desrespeito;
Eps - Docentes;"Tinham poucas meninas na sala e o professor ficava implicando em porque tinha um grupo só de menina. Que a gente estava excluindo os homens, sendo que tinham inúmeros grupos só de homens, e mesmo se cada uma fosse para um, ainda iam ter grupos composto só por homens. Ele ficava batendo na tecla que a gente tinha que ajudar os meninos. Sendo que o motivo da gente só ter se juntado era devido ao conforto que a gente sintia uma com a outra e ainda ser cedo no curso (e cada uma tinha um pouco de medo de homem). Comentário do mesmo professor sobre sua dinâmica de casa. A gente ia tirar dúvida e ele sentia confortável em falar sobre sua família. E reclamava constantemente da sua filha da nossa idade, que ela respondia ele, era rebelde pois discordava dele e que não foi educada idealmente porque ele e a primeira esposa tinham o mesmo papel dentro de casa. Mas no segundo casamento dele deu bom porque tinha uma dinâmica mais de hierarquia dentro de casa, em que ele estava acima de todos. A mulher chama atenção do filho e lida com essas coisas, enquanto ele seria a posição mais vista grossa quando de extrema necessidade. O comentário em si foi algo para gente meio chato porque ele reclamava muito da filha dele ""revoltada"" e ficava enfatizando a necessidade de ter hierarquia dentro de casa, onde ele (o homem) está acima de todos.";Gênero, Sexismo, Gênero (Gender): Desigualdade de Gênero, Gênero (Gender): Hierarquia de Gênero, Relacionamentos familiares: Paternidade, Relacionamentos familiares: Família e relacionamentos familiares, Relacionamentos familiares: Conflito de geração;
Eps - Docentes;Passei por um claro episódio de assédio sexual por um professor, mas não tive coragem de denunciar. Passei a evitá-lo apenas. Tinha um outro professor, que sempre gostou de brincar com todas as meninas, mas pelo menos era em público, na sala de aula, e sem maldade. Por ele, nunca me senti desconfortável. Ele se mostrava “respeitoso”, mesmo nas brincadeiras. Agora, incrivelmente, teve uma professora do núcleo de matemática, no meu segundo semestre, que ao procurá-la nos atendimentos, falou para mim: “parabéns por sua dedicação. Continue assim. Nós mulheres temos menos habilidades em lógica e matemática do que os homens. Precisamos sempre nos dedicar muito para alcançar eles.” Na época, achei muito estranho ela se colocar menor que os homens em sua capacidade de lógica e matemática. Logo ela, que era uma ótima professora. Mas segui confiante em minha trajetória. Nunca me deixei sentir menor por ser mulher. Consegui finalizar o curso com ótimo CR e sem reprovações. E hoje dedico em minha profissão a tentar incentivar muitas outras que mostram interesse na área, a seguir por ela, sem medo.;Violência emocional: Assédio sexual, Estereótipos de gênero, Empoderamento feminino;
Eps - Docentes;"Durante a aula, um professor realizou um comentário maldoso sobre o fato de eu morar em república feminina (classificou, sem conhecer, as meninas como ""depravadas""). Em outro episódio, este mesmo professor fez um comentário sobre a minha roupa na frente de todos, o que me deixou desconfortável.";Disrespect, Violência emocional: Humiliation;
Eps - Docentes;"Já recebi nota mais baixa por não ""dar bola"" a um professor que tentava assediar varios alunos. Havia professores que encostavam muito em mim, tentavam abraçar, fazer carinho... (só faziam isso com mulheres). Em sala, eu era lembrada o tempo todo que era mulher, com várias piadinhas vindas dos professores.";Gênero (Gender): Discriminação de gênero, Abuso de poder;
