document;quotation;codes;comment
Eps - Discentes;"Eu era aluna do suporte dos labs do CT9 e tinha um cara que me deixava desconfortável. Eu lembro ter respondido a ele sobre o cardápio do RU um dia no laboratório (eu estava perto do quadro e ele na ultima fileira de computadores, bem longe de mim) e no dia seguinte quando eu estava sozinha de manhã ele chegou a me cumprimentar e tentar beijar meu rosto. Eu acabo tendo um reflexo muito rápido e joguei meu rosto para longe e fiquei olhando para ele com cara de medo/estranheza. Pelo fato deu ser bem reservada, não saber nem qual era o nome do cara, qual curso ele era, só ter tido uma iteração com ele uma vez e estar sozinha, fiquei com muito medo. Nos dias seguintes ele ficava tentando sentar muito perto e eu ficava pedindo meus amigos (de outros cursos) a ficarem comigo no laboratório. Não acho que foi uma situação de assédio, mas num geral foi uma época que eu tinha muito medo e ficava sempre de olho se tinha homem por perto. Isso também ocorreu no primeiro período, então eu era muito mais nova e não tinha muitos amigos do curso ou da minha turma. Acho que isso são mais comentários chatos que eu recebia. Novamente por ser mais reservada, alguns homens ficavam ""brincando"" como eu não gostava de ser abraçada e eles não podiam me abraçar. Eu sempre achei isso estranho devido ao fato que eles só tinham o hábito de abraçar meninas amigas e nunca amigos. Vi isso com amiga também, porém apesar dela não gostar, ela não se sentia confortável a falar sobre.";Assédio: Assédio, Medo, Desconforto;
Eps - Discentes;Nunca passei por uma situação realmente grave, o que aconteceu comigo era mais tênue. No início da graduação, era como se eu precisasse me provar mais, que era tão capaz quanto qualquer menino da sala. Se havia um conceito novo ou difícil, alguns meninos meio que esperavam que eu não entedesse e tentavam sempre me explicar, inclusive se eu já tivesse entendido. Com o tempo isso foi passou, porque eu fui tirando notas melhores, me dedicando de forma que ninguém duvidasse da minha capacidade. Era algo pequeno, mas que me incomodava.;Sexismo, Assédio: Autodesvalorização, Assédio: Supercompensação;
Eps - Discentes;"Comentários considerados ""leves"", mas desagradáveis, com relação a aparência das alunas, forma de se vestir, etc. Associados ao fato de sermos meninas do CT.";Assédio: Comentários impróprios, Sexismo;
Eps - Discentes;Estava ajudando colegas (todos homens) em uma matéria, e chamaram um terceiro homem para validar a minha resposta em uma questão que estávamos fazendo.;Sexismo, Validação, Desconfiança;
Eps - Discentes;Estava pedindo aproveitamento de disciplinas no colegiado do curso, quando um grupo de alunos escutou que eu tava pedindo pra cortar programação 2, daí começaram a falar que eu não deveria fazer isso, que eu ia me ferrar muito nas outras matérias e totalmente duvidaram da minha capacidade sem ao menos me conhecer, até ficaram rindo quando eu falei que eu dou um jeito. Isso me fez me sentir bastante insegura no começo da graduação. Não foi explicitamente pelo fato deu ser mulher, mas é claro que eles não abordariam um cara da mesma forma. Enfim, eu consegui cortar prog2 e fui bem nas outras matérias.;Assédio: Desencorajamento, Discriminação de gênero, Insegurança, Superação;
Eps - Discentes;Comentários e brincadeiras sexistas, que poderiam aparentar “normais” na época, mas que sempre me deixava incomodada e desconfortável.;Sexismo, Desconforto;
Eps - Discentes;Não foram muitos episódios, acho que tenho sorte. Mas ouvi algumas vezes comentários sobre roupas que eu estava usando (supostamente os colegas não conseguiam prestar atenção na aula por causa disso). Em uma ocasião, me lembro que era um vestido normal, até o joelho. Depois disso, nunca mais usei vestido para ir para UFES.... Não sei se o episódio se classifica como assédio moral ou assédio sexual ou outra coisa...;Assédio: Assédio estético ou Assédio sexual;
Eps - Discentes;" Outro comentário também muito chato, era em período de ingressão de calouros na ufes. Escutei muitas vezes gente da minha turma falando das calouras que estavam entrando como ""carne nova"", ou que agora fulano ia ""passar o rodo"". Eu particularmente não gostava porque parecia meio predador e eu achava estranho a celebração da entrada das meninas por essas pessoas visto a segunda intenção que eles tinham.";Assédio: Sexualização, Machismo, Assédio: Desrespeito;
Eps - Discentes;Chamada de burra por um dos monitores da elétrica, foi um dos casos. Não sei se isso se implica. Eu apenas não estava num dia bom.;Bullying, Assédio: Emoções Negativas;
Eps - Docentes;"Tinham poucas meninas na sala e o professor ficava implicando em porque tinha um grupo só de menina. Que a gente estava excluindo os homens, sendo que tinham inúmeros grupos só de homens, e mesmo se cada uma fosse para um, ainda iam ter grupos composto só por homens. Ele ficava batendo na tecla que a gente tinha que ajudar os meninos. Sendo que o motivo da gente só ter se juntado era devido ao conforto que a gente sintia uma com a outra e ainda ser cedo no curso (e cada uma tinha um pouco de medo de homem). Comentário do mesmo professor sobre sua dinâmica de casa. A gente ia tirar dúvida e ele sentia confortável em falar sobre sua família. E reclamava constantemente da sua filha da nossa idade, que ela respondia ele, era rebelde pois discordava dele e que não foi educada idealmente porque ele e a primeira esposa tinham o mesmo papel dentro de casa. Mas no segundo casamento dele deu bom porque tinha uma dinâmica mais de hierarquia dentro de casa, em que ele estava acima de todos. A mulher chama atenção do filho e lida com essas coisas, enquanto ele seria a posição mais vista grossa quando de extrema necessidade. O comentário em si foi algo para gente meio chato porque ele reclamava muito da filha dele ""revoltada"" e ficava enfatizando a necessidade de ter hierarquia dentro de casa, onde ele (o homem) está acima de todos.";Gênero, Sexismo, Gênero (Gender): Desigualdade de Gênero, Gênero (Gender): Hierarquia de Gênero, Relacionamentos familiares: Paternidade, Relacionamentos familiares: Família e relacionamentos familiares, Relacionamentos familiares: Conflito de geração;
