,Unnamed: 0,NOME_ALUNO,SEXO,IDADE,ESTADO_CIVIL,ETNIA,COD_CURSO,NOME_CURSO,ANO_INGRESSO,FORMA_INGRESSO,PERIODO_INGRESSO,ANO_EVASAO,PERIODO_EVASAO,FORMA_EVASAO,NUM_PERIODOS,NUM_MAX_PERIODOS,CH_TOTAL_CURSO,COTISTA,MUNICIPIO,ESTADO,PAIS,CRN,CRA,QTDE_TRANCAMENTOS,TEMPO_NA_UFES
0,0,Aluno 1,M,19.3,Casado(a),Branca,5,Engenharia de Computação,2007,Vestibular,1º Semestre,2014,1º Semestre,Formado,10,18,3690,N,VILA VELHA,Espirito Santo,Brasil,"14,3369",5.62,0,7
1,1,Aluno 2,M,23.0,Solteiro(a),Branca,5,Engenharia de Computação,2007,Vestibular,1º Semestre,2011,2º Semestre,Formado,10,18,3690,N,VITORIA,Espirito Santo,Brasil,"15,8809",7.88,0,4
2,2,Aluno 3,M,20.7,Solteiro(a),Branca,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2011,1º Semestre,Desligado,10,15,4215,N,CARIACICA,Espirito Santo,Brasil,"2,3339",2.75,1,3
3,3,Aluno 4,M,17.2,Solteiro(a),Parda,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2013,2º Semestre,Formado,10,18,3690,S,NOVA VENECIA,Espirito Santo,Brasil,"16,1175",8.03,0,5
4,4,Aluno 5,M,25.8,Solteiro(a),Parda,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2012,1º Semestre,Desligado,10,15,4215,N,SERRA,Espirito Santo,Brasil,"1,3823",1.71,0,4
5,5,Aluno 6,M,18.7,Solteiro(a),Preta,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2015,2º Semestre,Formado,10,15,4215,N,VITORIA,Espirito Santo,Brasil,"15,6627",7.35,0,7
6,6,Aluno 7,M,18.8,Solteiro(a),Branca,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2011,1º Semestre,Desligado,10,15,4215,S,VITORIA,Espirito Santo,Brasil,"1,3885",1.36,0,3
7,7,Aluno 8,M,18.6,Solteiro(a),Branca,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2014,1º Semestre,Formado,10,18,3690,N,VITORIA,Espirito Santo,Brasil,"15,1506",6.7,0,6
8,8,Aluno 9,M,17.6,Solteiro(a),Preta,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2012,2º Semestre,Desistência,10,15,4215,N,SERRA,Espirito Santo,Brasil,"4,0392",5.34,0,4
9,9,Aluno 10,M,18.0,Solteiro(a),Branca,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2010,Curso de Verão,Desistência,10,18,3690,N,SERRA,Espirito Santo,Brasil,"3,4697",4.4,0,2
10,10,Aluno 11,M,18.8,Solteiro(a),Branca,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2015,2º Semestre,Desligado,10,18,3690,N,VITORIA,Espirito Santo,Brasil,"4,2709",5.39,0,7
11,11,Aluno 12,M,19.7,Solteiro(a),Parda,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2016,1º Semestre,Formado,10,15,4215,S,SERRA,Espirito Santo,Brasil,"14,668",6.07,0,8
12,12,Aluno 13,M,17.9,Solteiro(a),Branca,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2014,2º Semestre,Formado,10,15,4215,N,VILA VELHA,Espirito Santo,Brasil,"15,4635",7.1,0,6
13,13,Aluno 14,M,18.9,Solteiro(a),Branca,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2011,2º Semestre,Desistência,10,18,3690,N,VITORIA,Espirito Santo,Brasil,"4,898",6.35,0,3
14,14,Aluno 15,F,18.0,Solteiro(a),Parda,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2012,2º Semestre,Formado,10,18,3690,N,ARACRUZ,Espirito Santo,Brasil,"16,3801",8.58,0,4
15,15,Aluno 16,M,19.0,Solteiro(a),Parda,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2022,1º Semestre,Desligado,10,15,4215,S,VIANA,Espirito Santo,Brasil,"4,0215",4.55,0,14
16,16,Aluno 17,M,25.4,Solteiro(a),Branca,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2009,2º Semestre,Formado,10,18,3690,N,SERRA,,,"16,0247",8.57,0,1
17,17,Aluno 18,M,20.7,Solteiro(a),Preta,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2016,2º Semestre,Formado,10,15,4215,S,VITORIA,Espirito Santo,Brasil,"14,4279",5.58,0,8
18,18,Aluno 19,M,19.9,Solteiro(a),Parda,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2017,2º Semestre,Formado,10,15,4215,S,SERRA,Espirito Santo,Brasil,"14,7099",5.95,0,9
19,19,Aluno 20,F,17.3,Solteiro(a),Branca,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2008,2º Semestre,Desistência,10,18,3690,N,VILA VELHA,,,"1,156",0.0,1,0
20,20,Aluno 21,F,17.2,Solteiro(a),Branca,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2009,2º Semestre,Desistência,10,18,3690,S,VITORIA,Espirito Santo,Brasil,"1,9392",1.4,1,1
21,21,Aluno 22,M,21.1,Solteiro(a),Branca,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2016,2º Semestre,Formado,10,18,3690,N,VITORIA,Espirito Santo,Brasil,"14,2019",5.06,0,8
22,22,Aluno 23,M,18.2,Solteiro(a),Branca,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2012,2º Semestre,Formado,10,18,3690,N,VITORIA,Espirito Santo,Brasil,"16,3649",8.42,0,4
23,23,Aluno 24,M,18.2,Solteiro(a),Branca,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2011,1º Semestre,Desligado,10,18,3690,N,VITORIA,,,"3,2861",4.13,0,3
24,24,Aluno 25,M,18.4,Solteiro(a),Branca,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2011,1º Semestre,Desistência,10,18,3690,S,VILA VELHA,Espirito Santo,Brasil,"2,7012",3.27,1,3
25,25,Aluno 26,M,18.5,Solteiro(a),Branca,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2011,1º Semestre,Desligado,10,18,3690,N,Vila Velha,,,"3,3745",4.26,0,3
26,26,Aluno 27,M,17.9,Solteiro(a),Branca,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2012,2º Semestre,Desligado,10,15,4215,S,VILA VELHA,Espirito Santo,Brasil,"1,8914",2.63,2,4
27,27,Aluno 28,M,18.7,Solteiro(a),Branca,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2012,2º Semestre,Formado,10,18,3690,N,ALEGRE,Espirito Santo,Brasil,"15,9919",7.89,0,4
28,28,Aluno 29,M,18.1,Solteiro(a),Branca,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2016,1º Semestre,Formado,10,15,4215,S,SERRA,Espirito Santo,Brasil,"14,6314",5.8,0,8
29,29,Aluno 30,M,17.1,Solteiro(a),Preta,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2016,2º Semestre,Formado,10,15,4215,S,VITORIA,Espirito Santo,Brasil,"14,5903",5.93,0,8
30,30,Aluno 31,M,17.8,Solteiro(a),Branca,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2012,2º Semestre,Formado,10,18,3690,N,VITORIA,Espirito Santo,Brasil,"15,915",7.82,0,4
31,31,Aluno 32,M,21.7,Solteiro(a),Preta,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2012,1º Semestre,Desistência,10,15,4215,N,SERRA,Espirito Santo,Brasil,"2,1023",2.63,0,4
32,32,Aluno 33,M,20.4,Solteiro(a),Branca,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2014,1º Semestre,Desligado,10,15,4215,N,VITORIA,Espirito Santo,Brasil,"4,0054",4.94,2,6
33,33,Aluno 34,M,18.0,Solteiro(a),Branca,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2013,1º Semestre,Desistência,10,18,3690,N,VITORIA,Espirito Santo,Brasil,"3,0675",3.99,2,5
34,34,Aluno 35,M,17.1,Solteiro(a),Branca,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2015,1º Semestre,Formado,10,15,4215,N,VITORIA,Espirito Santo,Brasil,"14,7054",6.02,0,7
35,35,Aluno 36,M,17.8,Solteiro(a),Branca,5,Engenharia de Computação,2008,Vestibular,1º Semestre,2010,1º Semestre,Desistência,10,18,3690,N,VILA VELHA,Espirito Santo,Brasil,"5,1324",6.89,0,2
36,36,Aluno 37,M,26.5,Solteiro(a),Preta,5,Engenharia de Computação,2012,Vestibular,1º Semestre,2012,2º Semestre,Reopção,10,15,4215,N,VITORIA,Espirito Santo,Brasil,5,0.5,0,0
37,37,Aluno 38,M,18.4,Solteiro(a),Branca,5,Engenharia de Computação,1994,Vestibular,1º Semestre,1997,,Desistência,10,18,3690,N,VILA VELHA,,Brasil,,1.94,0,3
38,38,Aluno 39,M,19.8,Solteiro(a),Branca,5,Engenharia de Computação,2006,Vestibular,1º Semestre,2010,2º Semestre,Formado,10,18,3690,N,,,,"16,2378",8.52,0,4
39,39,Aluno 40,M,18.6,Solteiro(a),Branca,5,Engenharia de Computação,1991,Vestibular,1º Semestre,1994,,Desistência,10,18,3690,N,,,Brasil,,0.0,0,3
40,40,Aluno 41,M,27.4,Casado(a),Branca,5,Engenharia de Computação,1993,Transferência Facultativa,2º Semestre,1996,,Desligado,10,18,3690,N,VITORIA,,Brasil,,2.6,0,3
41,41,Aluno 42,M,31.4,Solteiro(a),Parda,5,Engenharia de Computação,1998,Vestibular,1º Semestre,2002,1º Semestre,Desistência,10,18,3690,N,Outros,Estados de Outros Países,Antartida,,5.63,0,4
42,42,Aluno 43,M,18.2,Solteiro(a),Branca,5,Engenharia de Computação,1994,Vestibular,1º Semestre,1999,,Formado,10,18,3690,N,VITORIA,,Brasil,,8.29,0,5
